Model	Accuracy	Balanced Accuracy	ROC AUC	F1 Score	Time Taken
KNeighborsClassifier	0.6502805836139169	0.5147574415991961		0.6412773378275206	0.6426229476928711
RandomForestClassifier	0.6162177328843995	0.5056574564745949		0.6143214588375989	7.047546863555908
ExtraTreesClassifier	0.614702581369248	0.5045708640909873		0.6128965628811845	3.937465190887451
BaggingClassifier	0.6209315375982043	0.49974979706617395		0.6165771992548059	1.0063085556030273
DecisionTreeClassifier	0.6099326599326599	0.4980710418782998		0.6082017862706487	0.11166501045227051
ExtraTreeClassifier	0.6082491582491583	0.4979816710148193		0.6067385474403272	0.05488872528076172
XGBClassifier	0.661672278338945	0.4870225715185124		0.6406139537010163	4.664686441421509
LGBMClassifier	0.6542648709315376	0.4757718765662928		0.6309745202277722	0.5255939960479736
AdaBoostClassifier	0.5924242424242424	0.40036354289540865		0.5515462333102944	1.087660551071167
NearestCentroid	0.45667789001122333	0.39919882351765446		0.45446820750324096	0.03700566291809082
GaussianNB	0.42025813692480357	0.37769976917600956		0.31512528186725886	0.023968219757080078
LinearDiscriminantAnalysis	0.5484287317620651	0.37332838402228513		0.45112430481973376	0.42685842514038086
QuadraticDiscriminantAnalysis	0.40987654320987654	0.3721966146274411		0.2914194908013841	0.039893150329589844
LabelPropagation	0.5614478114478114	0.35600727928439707		0.4556152827051783	1851.676773071289
Perceptron	0.3999438832772166	0.35320842933452834		0.3271762043146445	0.10069513320922852
SVC	0.5586980920314254	0.3516663717409158		0.4431646784997454	108.15518856048584
CalibratedClassifierCV	0.5568462401795735	0.35107092152923675		0.44473260874679343	19.959651470184326
RidgeClassifier	0.5567901234567901	0.35103647915133496		0.4446980020988743	0.04898691177368164
RidgeClassifierCV	0.5567901234567901	0.35103647915133496		0.4446980020988743	0.050945281982421875
LogisticRegression	0.5567901234567901	0.35102223840767505		0.44462302804364234	0.2929399013519287
LinearSVC	0.5567901234567901	0.35102223840767505		0.44462961321844063	7.100042819976807
SGDClassifier	0.5565656565656566	0.35089870963972786		0.44455957505035165	0.16738319396972656
BernoulliNB	0.5199775533108867	0.3458017457692944		0.4765823732455397	0.04886913299560547
DummyClassifier	0.5430976430976431	0.3333333333333333		0.38228954759611533	0.018151044845581055
PassiveAggressiveClassifier	0.38843995510662177	0.3305695735303156		0.2718447361859103	0.09657430648803711
